split_mode,candidate,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
chronological_blocked,personal_profile_code32_no_support,VitalDB,ppg_permuted_1,SBP,8.112746237241305,0.5739510663571079,0.2350903802651625,11.601119735647936,44.92307692307692,72.05048076923077,85.32932692307692,FAIL*,FAIL (Grade C)*
chronological_blocked,personal_profile_code32_no_support,VitalDB,ppg_permuted_1,DBP,4.538029469389182,0.6753627152902992,-0.1217046301639997,6.6957729129540375,68.23557692307692,89.80288461538461,96.3798076923077,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,Overall,ppg_permuted_2,SBP,7.422955407496489,0.7269494068773734,0.2637393021920667,10.737788486482954,48.81155533885909,75.41199414919552,87.78400780107265,FAIL*,FAIL (Grade C)*
chronological_blocked,personal_profile_code32_no_support,Overall,ppg_permuted_2,DBP,4.015483945151877,0.7627185608792851,-0.0618022087316638,6.058714277260625,73.45563139931741,91.85275475377864,97.09775719161384,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,ppg_permuted_2,SBP,6.760409955006796,0.8099569283375164,0.2932078876551959,9.874736025105106,52.54945598417409,78.93422354104847,90.0568743818002,FAIL*,PASS (Grade B)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,ppg_permuted_2,DBP,3.508356249391384,0.8257258956927411,-0.0001833810532717,5.396299346299188,78.68694362017804,93.7908011869436,97.68298714144412,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,VitalDB,ppg_permuted_2,SBP,8.06702603486868,0.580251717003466,0.2350924369005056,11.514982754867946,45.17788461538462,71.98798076923076,85.57451923076923,FAIL*,FAIL (Grade C)*
chronological_blocked,personal_profile_code32_no_support,VitalDB,ppg_permuted_2,DBP,4.508470580165203,0.6808305534185759,-0.121702819099793,6.639126534819244,68.3701923076923,89.96875,96.52884615384616,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,Overall,personal_state_swapped,SBP,14.341607047824496,0.2002419987024585,1.3791956676499897,18.3306436473894,23.16552901023891,43.979765967820576,60.7557289127255,FAIL*,FAIL (Grade D)*
chronological_blocked,personal_profile_code32_no_support,Overall,personal_state_swapped,DBP,7.796770353168467,0.3286508897703332,0.5177211282777531,10.178512510604858,41.689419795221845,70.79595319356412,86.64797659678206,FAIL*,FAIL (Grade C)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,personal_state_swapped,SBP,13.382014238657511,0.4165625381148045,2.121783782230758,17.17910095638893,25.23986152324431,47.403560830860535,64.44609297725025,FAIL*,FAIL (Grade D)*
