Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.260987654639056,0.22013740687988448,-2.6863229691492583,19.525721834828296,21.943902337748618,41.62998795831084,58.30461321263962,FAIL*,FAIL (Grade D)*
resnet_small | QGH,VitalDB,SBP,10.128098976155014,0.48896222875635176,-0.4442818631010799,13.67803340188422,33.70827451158978,60.14390454938749,77.77221184935563,FAIL*,FAIL (Grade D)*
resnet_small | QGH,VitalDB,DBP,6.169131538093508,0.5352753358689306,-1.2705150456854173,8.508798479524334,51.41855275741154,81.52010565144133,93.7246687007605,FAIL*,PASS (Grade B)*
resnet_depth2 | Population,VitalDB,SBP,12.497349135613494,0.2739932792749449,-1.408874645663696,16.25063573557223,26.253472380345187,49.410264583997446,67.68523156792203,FAIL*,FAIL (Grade D)*
resnet_depth2 | Population,VitalDB,DBP,8.515762136271682,0.23011411756481726,-1.1290694888252115,11.015456869902573,35.30670795573569,65.99571929504987,85.07217997176556,FAIL*,FAIL (Grade D)*
resnet_depth2 | QGH,VitalDB,SBP,10.554496781636667,0.45673687182995115,0.5925061719047655,14.097691912725393,31.923129468555032,57.712099822396276,76.08725351791976,FAIL*,FAIL (Grade D)*
resnet_depth2 | QGH,VitalDB,DBP,6.21831309230737,0.5309082385038204,-0.11941595189196805,8.642638160153608,51.008698028143364,81.0237260348832,93.46054009745434,FAIL*,PASS (Grade B)*
resnet_wide1p5 | Population,VitalDB,SBP,12.739224791080542,0.2690794016474599,1.5239940922749189,16.295593344616623,25.228835557174733,47.593241950908514,65.78168404754315,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | Population,VitalDB,DBP,8.45360551478325,0.24489907162776836,-0.24580049069683027,10.963576682751087,35.693792977822305,66.16876906962976,85.12227332756501,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | QGH,VitalDB,SBP,10.449107548312652,0.467079609709497,-0.07773694163744667,13.97496079817673,31.945899175736596,58.51359351518739,76.56997131016895,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | QGH,VitalDB,DBP,6.126335485320454,0.5386692312321484,-0.8901752392627834,8.525312896577406,52.03333485131382,81.73414089894804,93.69279111070632,FAIL*,PASS (Grade B)*
inception_time | Population,VitalDB,SBP,12.543099113576545,0.28259241155687853,-0.158789963518913,16.21393042798111,25.620474520697663,48.61787877407897,67.17063618561865,FAIL*,FAIL (Grade D)*
inception_time | Population,VitalDB,DBP,8.367005732198187,0.2551390562686816,-1.2450441013215958,10.820321965846865,35.98979917118265,67.23439136572705,85.99663008333714,FAIL*,FAIL (Grade D)*
inception_time | QGH,VitalDB,SBP,10.280757131224942,0.48146650726952467,-0.12054498654911525,13.784720023717753,33.04339906188806,59.21945443781593,76.9661642151282,FAIL*,FAIL (Grade D)*
inception_time | QGH,VitalDB,DBP,6.042581962988171,0.546562826942427,-0.8287792646629477,8.457501737037493,53.09440320597477,82.1030101552894,93.56983469192586,FAIL*,PASS (Grade B)*
inception_time_wide | Population,VitalDB,SBP,12.406768263353827,0.282459436858431,-1.0988228853274051,16.17893758556544,26.549478573705542,50.00683091215446,68.23170454027961,FAIL*,FAIL (Grade D)*
