Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,split_mode
past_gap300__D0_frozen_lora,Overall,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,5.090222564139503,2.981832033817168,0.0225152574359702,-0.1182625809510936,random_disjoint
past_gap300__D0_frozen_lora,MIMIC,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,5.606288107290894,3.314435249209459,0.0468497080571809,-0.1874385746249341,random_disjoint
past_gap300__D0_frozen_lora,VitalDB,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,4.588547310172142,2.658503331161778,-0.0011406363890721,-0.0510155332546967,random_disjoint
past_gap300__feature_knn,Overall,2051,82040,5.557241143806302,3.0905590872734434,4.323900115539874,7.596030705326452,4.402967381756322,0.0464642811017498,-0.0423355431185376,random_disjoint
past_gap300__feature_knn,MIMIC,1011,40440,5.015913123597616,2.75489143135032,3.885402277473967,6.878083579644926,4.031255517639622,0.1116899706692363,-0.0869035216523487,random_disjoint
past_gap300__feature_knn,VitalDB,1040,41600,6.083474440374556,3.416866779714096,4.750170610044326,8.293958151541858,4.7643142035082295,-0.0169426151989509,0.0009896744753882,random_disjoint
past_gap300__nearest_record_time_bp,Overall,2051,82040,8.392557060584855,4.498838997247566,6.445698028916211,11.420509183620965,6.314097553727729,-0.1868397156358753,-0.0615226249122898,random_disjoint
past_gap300__nearest_record_time_bp,MIMIC,1011,40440,6.461188379734843,3.325439564787905,4.893313972261375,8.971276000504497,4.905717857414018,0.0805010477701822,0.0309234367044224,random_disjoint
past_gap300__nearest_record_time_bp,VitalDB,1040,41600,10.27007026860347,5.639518637840564,7.95479445322202,13.801446441438989,7.683205123894229,-0.4467257846777256,-0.1513908636569977,random_disjoint
past_gap300__time_matched_feature_uniform,Overall,2051,82040,5.693890980451297,3.1603099127736454,4.427100446612471,7.8168201696385475,4.504038020054368,0.0364503272738705,-0.0582835908519646,random_disjoint
past_gap300__time_matched_feature_uniform,MIMIC,1011,40440,5.143594011236958,2.814002954146275,3.9787984826916167,7.045996228859312,4.089549191860231,0.1203164675115477,-0.095023813327861,random_disjoint
past_gap300__time_matched_feature_uniform,VitalDB,1040,41600,6.228843130331773,3.496960235054676,4.8629016826932245,8.566149981299901,4.906968986693093,-0.0450772378994868,-0.0225678553489538,random_disjoint
past_gap300__time_stratum_random_uniform,Overall,2051,82040,8.773042265558638,4.695807374180497,6.734424819869568,11.60186141177653,6.339815880594937,-0.0106927399284255,-0.0378395278182976,random_disjoint
past_gap300__time_stratum_random_uniform,MIMIC,1011,40440,7.043438744474235,3.678680838982028,5.361059791728132,9.412632853743569,5.109914622936575,0.2274451317112712,0.006570359295129,random_disjoint
past_gap300__time_stratum_random_uniform,VitalDB,1040,41600,10.454416457689726,5.684571727147469,8.069494092418598,13.730044173479724,7.535421814722443,-0.2421902286089383,-0.0810110623102921,random_disjoint
fixed_blend,Overall,2051,82040,4.897695541381836,2.695645332336426,3.796670198440552,5.939213275909424,3.3202438354492188,0.2787319719791412,0.0724732503294944,chronological_blocked
fixed_blend,MIMIC,1011,40440,4.543566703796387,2.4558522701263428,3.4997096061706543,5.528179168701172,3.020237684249878,0.1492254883050918,0.001813743263483,chronological_blocked
fixed_blend,VitalDB,1040,41600,5.241949081420898,2.9287517070770264,4.085350513458252,6.3387861251831055,3.611884593963623,0.4046272039413452,0.1411624252796173,chronological_blocked
trained_blend,Overall,2051,82040,4.7000250816345215,2.6142520904541016,3.657138586044312,5.721602916717529,3.224542617797852,0.1896321177482605,0.0590944476425647,chronological_blocked
trained_blend,MIMIC,1011,40440,4.428385257720947,2.4207065105438232,3.424546003341675,5.396981716156006,2.975228786468506,0.1290634870529174,0.0231079682707786,chronological_blocked
trained_blend,VitalDB,1040,41600,4.964089870452881,2.802400588989258,3.883245229721069,6.037171840667725,3.466904401779175,0.248511791229248,0.0940774753689765,chronological_blocked
E3_zero_reliability,Overall,2051,82040,4.846353993029714,2.6646808263226287,3.755517409676171,5.870692127577883,3.275215412505046,0.2708058026056025,0.0577569029632191,chronological_blocked
